"Date,Open,High,Low,Close,Adj Close,Volume"
"2023-01-02,183.11551218332173,188.66446709796784,181.26586054510634,184.9651638215371,181.26586054510634,3118664"
"2023-01-03,180.47852629626186,185.94757254766375,178.65551087912792,182.30154171339584,178.65551087912792,3670589"
"2023-01-04,179.5173685585396,184.9572888178893,177.70406180542304,181.33067531165617,177.70406180542304,2723707"
"2023-01-05,176.13953246009305,181.47709404979284,174.36034526352645,177.91871965665965,174.36034526352645,4554343"
"2023-01-06,172.54341050024078,177.77199869721778,170.80054776791513,174.28627323256646,170.80054776791513,3177908"
"2023-01-09,167.75114399004735,172.83451198974578,166.05668799014788,169.44559998994683,166.05668799014788,4030537"
"2023-01-10,169.812526584631,174.95836072355922,168.0972485383216,171.5278046309404,168.0972485383216,2677301"
"2023-01-11,170.98668472928617,176.1680994180524,169.25954649969742,172.7138229588749,169.25954649969742,1358292"
"2023-01-12,165.59580205634606,170.6138566641141,163.92311718709004,167.26848692560208,163.92311718709004,1227028"
"2023-01-13,166.48857936220935,171.53368782773086,164.80687654036885,168.17028218404985,164.80687654036885,4423714"
"2023-01-16,168.91533287465023,174.0339793253972,167.2091173910679,170.62154835823256,167.2091173910679,3307322"
"2023-01-17,175.46679085388513,180.7839663343059,173.6943990270782,177.23918268069204,173.6943990270782,3034203"
"2023-01-18,179.01661878671635,184.44136481055625,177.20837011210307,180.82486746132966,177.20837011210307,3893009"
"2023-01-19,179.56803005684841,185.00948551311654,177.75421157142569,181.38184854227111,177.75421157142569,4249414"
"2023-01-20,178.01955992378868,183.41409204269135,176.22138255082112,179.81773729675623,176.22138255082112,1865674"
"2023-01-23,181.2247256629905,186.71638401641445,179.39417287851586,183.05527844746516,179.39417287851586,1583481"
"2023-01-24,186.6738801174788,192.330664363463,184.78828536881738,188.5594748661402,184.78828536881738,2278840"
"2023-01-25,190.80959302250503,196.5917019019749,188.8822233960151,192.736962648995,188.8822233960151,4284854"
"2023-01-26,191.632217473168,197.4392543662943,189.69653850879254,193.56789643754342,189.69653850879254,4402881"
"2023-01-27,193.79773196710465,199.67039051156237,191.84017911895208,195.75528481525723,191.84017911895208,4278578"
"2023-01-30,188.8096276252595,194.53113149269163,186.9024596694488,190.71679558107022,186.9024596694488,1224749"
"2023-01-31,191.12390928541436,196.91554290012388,189.19336474717787,193.05445382365087,189.19336474717787,1725556"
"2023-02-01,196.6391903793825,202.5979537242123,194.6529359311059,198.6254448276591,194.6529359311059,1062671"
"2023-02-02,196.58677430188015,202.54394928072503,194.60104930893186,198.57249929482845,194.60104930893186,2172547"
"2023-02-03,197.2617288907555,203.23935703896024,195.26918617468726,199.25427160682375,195.26918617468726,3752264"
"2023-02-06,202.22326590960668,208.35124366444325,200.18060665799447,204.26592516121886,200.18060665799447,3437349"
"2023-02-07,202.41723759707,208.5510932818297,200.3726190354834,204.46185615865656,200.3726190354834,3013681"
"2023-02-08,209.2095331940739,215.54921601813678,207.09630558605298,211.32276080209488,207.09630558605298,4878333"
